'P26NickelV15um','P27CrackDepthV20um','P44TN','P51NickelR','P52XYPlaneL22um','P57DisplacementYComponentum','P36SIFSK2MaximumMPaum05',P66SIFSK1MaximumMPaum05'
11.84816066,12.77033125,23.23934894,294.8509189,2027.077608,158.0801832,-1.789056232,744.4113307
11.8697084,3.178337715,54.4819016,263.8765206,2170.145398,141.3181562,-14.19034489,765.1235785
11.88204359,9.505030045,51.40078704,296.3806718,2602.448602,168.5256823,-14.78437748,738.7651953
11.88228415,6.21268857,43.10333995,274.3847029,2049.147721,140.5336967,-1.788090298,749.145301
11.89728291,6.448191271,30.70064112,264.1911387,1944.263225,153.8291789,-6.650132734,762.0972949
11.91546696,10.37644999,56.11097905,318.3416138,2282.251943,141.6022984,-2.102408736,755.5916823
11.91546696,10.37644999,56.11097905,318.3416138,2282.251943,141.6022984,-2.102408736,755.5916823
11.91843324,3.415179593,63.3808801,274.930923,2582.147903,153.7855428,-0.727547163,746.4685758
11.92561089,12.84561281,6.920507228,276.5929601,1762.959185,153.5939914,-12.23443111,757.1973666
11.93862062,3.499608156,56.67957716,268.4130936,2514.500852,157.8568378,-1.430211215,749.911781
11.95467833,6.159993794,74.68365983,309.1183719,2864.348585,159.2316482,-0.078537665,750.2964437
11.95467833,6.586791464,76.28138915,309.9509824,2873.90438,159.2316482,-8.9664402,749.7770519
11.96791539,3.583802331,78.68161236,293.4875747,2629.073865,141.3912223,2.416973948,745.144484
11.96791539,3.583802331,78.68161236,293.4875747,2629.073865,141.3912223,2.416973948,745.144484
11.99726312,8.72345625,58.2156995,298.676924,2374.494668,144.9690127,-13.78101708,743.2913878
11.99726312,8.72345625,59.33272983,298.676924,2374.494668,144.9690127,-19.10530129,746.701072
12.00500065,9.24321415,77.36539648,328.1114436,2844.324091,156.3456542,-8.92821564,751.0176274
12.00851628,10.03368308,71.75076646,323.2901539,2631.522869,150.8386907,-19.98798956,755.9152254
12.01555719,4.243494182,72.96348885,294.2490701,2521.697485,141.9306459,1.295029038,756.8052067
12.01555719,4.243494182,72.96348885,294.2490701,2521.697485,141.9306459,1.295029038,756.8052067
12.02034821,6.225687511,76.29864527,306.5071775,2864.831054,158.654635,-8.207703034,750.1713923
12.02459603,3.450760145,56.52402626,269.002777,2613.499253,165.2711083,1.826145454,754.7347067
12.04980442,5.527811601,9.620862209,229.6208,1603.154875,156.7722564,8.94863555,731.2064334
12.05631958,7.444092573,44.05616554,277.2754598,2224.15105,152.6998035,-9.573886971,749.0881524
12.06159366,2.839309235,51.61536946,254.7001873,2205.268037,147.9298546,-16.05114494,768.0564018
12.07173604,3.770457745,41.253255,251.8796362,2056.964989,144.895003,-0.669355472,751.1997946
12.07173604,3.770457745,44.90865476,251.8796362,2080.391214,145.3452496,-17.77529316,760.6301528
12.07924624,3.895523693,80.8201314,297.3135506,2661.751101,141.9042747,2.757009074,748.7101209
12.07924624,4.027376492,81.00238194,298.1979462,2661.751101,142.0865718,1.189953476,749.7034531
12.07924624,3.895523693,80.8201314,297.3135506,2661.751101,141.9042747,2.757009074,748.7101209
12.07924624,4.027376492,81.00238194,298.1979462,2661.751101,142.0865718,1.189953476,749.7034531
12.07941171,4.333877615,72.96348885,293.2092447,2536.372252,142.2510538,1.664311513,754.670695
12.07941171,4.333877615,72.96348885,293.2092447,2536.372252,142.2510538,1.664311513,754.670695
12.08194987,7.795377353,83.88313601,324.4612096,2900.543895,153.8002629,-8.420870161,750.9703876
12.08741904,11.58015404,72.46801814,334.5058438,2845.533722,160.4778721,-9.141096303,749.3096038
12.08960266,10.98126875,78.23229508,338.3015608,2848.177348,153.957824,-4.255007203,745.7610553
12.09396456,7.233811424,73.8967566,311.261039,2839.048444,158.2484632,-2.57959688,749.2079813
12.09396456,7.342549715,71.80543225,310.8461479,2810.346359,158.3256921,-0.057757972,749.4836288
12.09396456,7.616870969,74.07275036,310.8461479,2824.365782,158.1364672,-10.02908343,749.4434355
12.09639201,11.0454444,73.62504049,334.3299989,2802.011884,156.7638847,-6.161872087,750.9657926
12.09803997,9.556417206,80.53128759,331.3569865,2961.998961,159.7192364,-8.079377228,749.5678923
12.10230656,12.34940702,23.84769119,290.2519493,2027.077608,156.6498581,3.14082951,744.8064502
12.1055555,7.487881743,66.29104565,305.8978011,2514.795655,145.9174746,-0.121288671,750.990099
12.1128088,2.996061985,57.81391057,259.3401849,2640.453494,162.966298,-2.571831923,740.0172969
12.11720317,5.444240953,30.1930538,248.7715784,1831.035913,142.1807606,-7.815994314,751.0583676
12.12010914,4.739471599,73.79774782,292.8816089,2578.906033,143.5692592,-3.419750215,749.790623
12.12092527,8.170693837,8.057068778,241.6221776,1615.208495,150.3758785,-5.55465712,739.5282349
12.12386414,4.719889721,74.24662535,296.5797065,2556.629867,142.0001644,1.92169127,753.9670078
12.12386414,4.719889721,74.24662535,296.5797065,2556.629867,142.0001644,1.92169127,753.9670078
12.13087629,9.473908016,53.17488011,297.1564958,2611.035111,165.8193317,-7.43356853,741.1111277
12.13494579,10.6502882,53.76595546,307.5214757,2364.833385,149.2067111,-9.343404377,750.7459332
12.1483012,4.161129634,77.46271698,293.055999,2619.086444,141.9802273,0.812326977,747.313418
12.1483012,4.161129634,77.46271698,293.055999,2619.086444,141.9802273,0.812326977,747.313418
12.16853157,15.48062657,56.80128341,338.3616136,2634.106722,161.5620736,-8.59198015,749.0815208
12.1932625,12.37789984,12.92469733,272.9674421,1934.48967,163.8315666,-2.507677771,740.1203196
12.19352666,15.62943798,56.62806462,338.3425493,2672.32887,164.6207114,-9.392624137,749.998046
12.19600814,10.13274153,81.55976292,337.4103724,2992.178276,159.5196501,-0.47559223,749.8927564
12.20316178,7.284917283,63.71943145,297.3360513,2588.850118,155.5285858,-9.995504445,756.9621601
12.20693237,7.21640625,57.07284252,290.7313761,2436.90458,150.6513312,-2.206394462,750.3742424
12.23887585,2.813571659,72.40051491,274.7399822,2944.095085,167.2590164,-1.551165931,749.2710346
12.26963264,5.581742272,74.09676987,295.9453917,2796.511638,156.1452193,-4.792329722,750.4454065
12.29086292,10.08254753,49.26475584,294.5440469,2482.218966,163.5976286,-11.65218108,750.025994
12.29832533,3.479178603,61.59164932,268.395992,2501.841661,152.3752808,-3.716231321,756.6175276
12.30137635,8.307532116,75.71900121,313.6170927,2617.533534,145.2256437,-12.00819913,755.0533697
12.30158816,4.188252499,77.46271698,289.9352357,2612.009532,141.427119,0.080824716,747.1384551
12.30158816,4.188252499,77.46271698,289.9352357,2612.009532,141.427119,0.080824716,747.1384551
12.30521069,3.748843157,54.37893704,262.0939514,2533.532497,164.7248609,-8.214493448,761.2364493
12.30521069,3.748843157,54.37893704,262.0939514,2533.532497,164.9061386,-8.637840886,761.8106977
12.30601913,2.873282133,25.89091358,224.1718959,1919.05816,160.7410803,-0.130797774,748.7083843
12.30601913,2.873282133,25.89091358,224.1718959,1919.05816,160.7410803,-0.130797774,748.7083843
12.30990169,6.888661128,51.1779596,278.6840763,2392.332003,155.2366523,-6.049940817,750.921688
12.31946529,5.482182914,70.60912065,291.908513,2734.27128,155.1735951,-0.913127515,750.0524783
12.32605517,4.27187004,59.05632065,268.3735624,2498.193354,153.4440318,-5.795910481,749.6757477
12.32712715,2.769412824,72.25482927,272.7964396,2944.095085,167.2590164,-1.133393051,749.2316419
